"","V1","V2","V3"
"COST","UNIT + YEAR + EMP + SAL + RENT + BRAND + SH + COMP","0.780617290140684","0.77614009198029"
"REV","YEAR + EMP + SAL + SH","0.570346388883922","0.567644164914639"
"ASSET","EMP + SAL + RENT + BRAND + SH","0.40196031229706","0.397441120702327"
"INVESTAS","BRAND + SH","0.014923614935318","0.0112156737117369"
